,y_true,y_fitted,y_predicted
2012-07-31,,,
2012-08-31,9.519999999999982,,
2012-09-30,82.46000000000004,,
2012-10-31,-106.0,,
2012-11-30,38.25,,
2012-12-31,197.7099999999998,,
2013-01-31,-118.23999999999978,,
2013-02-28,-479.84000000000015,,
2013-03-31,427.98,,
2013-04-30,48.289999999999964,,
2013-05-31,-42.50999999999999,,
2013-06-30,-84.45000000000005,,
2013-07-31,116.80000000000018,,
2013-08-31,45.77999999999997,,
2013-09-30,-51.799999999999955,,
2013-10-31,-0.19000000000005457,,
2013-11-30,167.88999999999987,,
2013-12-31,52.840000000000146,,
2014-01-31,-3.3005000000002838,,
2014-02-28,-929.8446999999999,,
2014-03-31,559.4914000000001,,
2014-04-30,184.4795999999999,,
2014-05-31,71.46810000000005,,
2014-06-30,-88.39909999999986,,
2014-07-31,259.8764000000001,,
2014-08-31,-44.14570000000003,,
2014-09-30,52.32109999999966,,
2014-10-31,-67.90470000000005,,
2014-11-30,47.918600000000424,,
2014-12-31,158.66579999999976,,
2015-01-31,-275.5337999999999,,
2015-02-28,-309.2957000000001,,
2015-03-31,-247.11749999999984,,
2015-04-30,316.67409999999995,,
2015-05-31,128.9777999999999,,
2015-06-30,7.445500000000038,,
2015-07-31,36.164600000000064,,
2015-08-31,30.00279999999998,,
2015-09-30,87.6117999999999,,
2015-10-31,-127.33569999999986,,
2015-11-30,44.03949999999986,,
2015-12-31,265.43140000000017,,
2016-01-31,-537.3719000000001,,
2016-02-29,-476.9176,,
2016-03-31,333.91020000000003,,
2016-04-30,115.90449999999987,,
2016-05-31,90.2143000000001,-23.68631813837495,
2016-06-30,8.945200000000114,-58.87657529358923,
2016-07-31,40.54639999999995,72.68837790620168,
2016-08-31,81.7147,-14.421507393525276,
2016-09-30,-53.90700000000015,2.6531106198648184,
2016-10-31,-66.03579999999988,-59.23226893945299,
2016-11-30,167.2431999999999,408.9325908691743,
2016-12-31,155.35900000000015,-18.10527511587682,
2017-01-31,-288.2363,-414.07106766120285,
2017-02-28,-614.25,-802.1859655405482,
2017-03-31,604.0,528.0940283546298,
2017-04-30,-14.849999999999909,47.07933538355631,
2017-05-31,113.25,-64.76022756629648,
2017-06-30,56.669999999999845,0.6115277395270398,
2017-07-31,-26.3599999999999,185.73553983285623,
2017-08-31,59.24000000000001,276.97173638878326,
2017-09-30,-0.9900000000000091,-24.02024478938514,
2017-10-31,-100.41000000000008,-190.16825771873087,
2017-11-30,279.3599999999999,227.9129276500846,
2017-12-31,156.84000000000015,296.3127208325785,
2018-01-31,-320.53999999999996,-112.29766614371847,
2018-02-28,-289.20000000000005,-360.94551525052503,
2018-03-31,33.50999999999999,137.03553637539684,
2018-04-30,250.3599999999999,105.88746878364634,
2018-05-31,126.56000000000017,50.45072825372024,
2018-06-30,40.039999999999964,8.01413529924382,
2018-07-31,-11.929999999999836,320.8841720906273,
2018-08-31,25.45999999999958,79.16206458167686,
2018-09-30,84.49000000000024,-119.49808064860756,
2018-10-31,-106.38999999999987,6.148497516052335,
2018-11-30,95.34999999999991,-190.91515755550876,
2018-12-31,-34.440000000000055,174.68170235997195,
2019-01-31,-28.420000000000073,-59.87253265063171,
2019-02-28,-826.78,-811.0394236377074,
2019-03-31,629.04,394.16946633583416,
2019-04-30,-46.27999999999997,96.14402087170727,
2019-05-31,203.1199999999999,9.059530055311933,
2019-06-30,-14.519999999999982,-65.0832115420987,
2019-07-31,93.05999999999995,360.81617577657477,
2019-08-31,-68.98999999999978,19.730763369663986,
2019-09-30,33.42000000000007,-8.420608998591845,
2019-10-31,-52.36000000000013,-231.59580766920533,
2019-11-30,84.63000000000011,-36.58081305311206,
2019-12-31,171.96000000000004,87.056549408533,
2020-01-31,-270.5,-84.86552646003669,
2020-02-29,-1312.0900000000001,-647.0651927767686,
2020-03-31,1041.93,953.380734103858,
2020-04-30,149.1099999999999,-61.331022404344765,
2020-05-31,69.45000000000027,34.83276662164032,
2020-06-30,64.1899999999996,97.81602414735156,
2020-07-31,239.92000000000007,201.8062892974466,
2020-08-31,-24.659999999999854,-35.53981882579523,
2020-09-30,42.40000000000009,172.1240626004526,
2020-10-31,-23.829999999999927,85.00053462022426,
2020-11-30,306.8199999999997,80.96707769964266,
2020-12-31,147.76000000000022,255.42315583732415,
2021-01-31,-183.05999999999995,-244.20786637937664,
2021-02-28,-589.9700000000003,-415.6082903454111,
2021-03-31,361.5799999999999,298.9106945614557,
2021-04-30,225.48000000000002,110.11236091640865,
2021-05-31,1.3800000000001091,-64.0778435832419,
2021-06-30,170.75,322.7579469893344,
2021-07-31,9.740000000000236,209.9865630187863,
2021-08-31,118.92999999999984,-67.56163593075378,
2021-09-30,115.27999999999975,0.44673540026810965,
2021-10-31,-55.789999999999964,126.67028508159221,
2021-11-30,251.57000000000016,3.5736687523180484,
2021-12-31,153.8499999999999,94.34357541053197,
2022-01-31,-163.8499999999999,-211.91382840329695,
2022-02-28,-1084.81,-595.312467596093,
2022-03-31,580.73,301.52622977773643,
2022-04-30,-39.039999999999964,220.89938931737964,
2022-05-31,349.3399999999997,67.99062569668683,
2022-06-30,195.08000000000038,-163.63916321719722,
2022-07-31,40.559999999999945,98.74600158304315,
2022-08-31,-170.76999999999998,-273.18632335561637,
2022-09-30,78.56999999999971,-61.564797098813685,
2022-10-31,-246.28999999999996,72.10171614445612,
2022-11-30,-29.98999999999978,104.64436774600843,
2022-12-31,62.84999999999991,38.042029534398665,
2023-01-31,-124.90999999999985,-74.99356685586821,
2023-02-28,-757.6800000000003,-486.4963591800507,
