,ACE_NWP
2015-8-31,109.9
2015-9-30,55.3
2015-10-31,55.7
2015-11-30,22.5
2015-12-31,14
2016-1-31,0
2016-2-29,0
2016-3-31,0
2016-4-30,0
2016-5-31,0
2016-6-30,0
2016-7-31,29.8
2016-8-31,51.3
2016-9-30,74.3
2016-10-31,75.9
2016-11-30,12.1
2016-12-31,18.4
2017-1-31,0
2017-2-28,0
2017-3-31,0
2017-4-30,0.9
2017-5-31,0
2017-6-30,1.1
2017-7-31,45.5
2017-8-31,46.2
2017-9-30,28.2
2017-10-31,31.4
2017-11-30,6.5
2017-12-31,9.4
2018-1-31,0.2
2018-2-28,1.1
2018-3-31,9.9
2018-4-30,1.1
2018-5-31,0.4
2018-6-30,7.6
2018-7-31,62
2018-8-31,79.1
2018-9-30,108.2
2018-10-31,71.5
2018-11-30,20.5
2018-12-31,0
2019-1-31,2.2
2019-2-28,31.4
2019-3-31,0.1
2019-4-30,0
2019-5-31,0
2019-6-30,0.1
2019-7-31,3
2019-8-31,48.3
2019-9-30,40.5
2019-10-31,70.6
2019-11-30,57.8
2019-12-31,22.9
2020-1-31,0
2020-2-29,0
2020-3-31,0
2020-4-30,0
2020-5-31,7.4
2020-6-30,0.4
2020-7-31,0
2020-8-31,29.8
2020-9-30,41.3
2020-10-31,50
2020-11-30,23.9
2020-12-31,0
2021-1-31,0
2021-2-28,1.5
2021-3-31,0
2021-4-30,43.3
2021-5-31,1.4
2021-6-30,6.1
2021-7-31,19.5
2021-8-31,11.6
2021-9-30,72.9
2021-10-31,17.2
2021-11-30,0.2
2021-12-31,35.8
2022-1-31,0
2022-2-28,0
2022-3-31,0
2022-4-30,17
2022-5-31,0
2022-6-30,0.6
2022-7-31,4.6
2022-8-31,28.3
2022-9-30,89.2
2022-10-31,17
2022-11-30,2.8
2022-12-31,1.1
2023-1-31,0
2023-2-28,0
2023-3-31,0
2023-4-30,1.2
2023-5-31,53.6
2023-6-30,14.1
2023-7-31,35.6
2023-8-31,85.1
2023-9-30,19.2
2023-10-31,57.9
2023-11-30,0
2023-12-31,0.1
2024-1-31,0
2024-2-29,0
2024-3-31,0
2024-4-30,0
2024-5-31,10
2024-6-30,0
2024-7-31,15.2
2024-8-31,39.2
2024-9-30,43.15
2024-10-31,35.15
2024-11-30,62.1
